"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"1","Athabasca Plain",1,288,283.711797967553,0.6,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"2","Central Mixedwood",1,93,87.6902251634456,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"3","Kazan Uplands",1,1,0,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"4","Lower Boreal Highlands",1,1,0,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"5","Athabasca Plain",2,25862,25511.5436880614,53.9,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"6","Central Mixedwood",2,1949,1806.30680086885,0.4,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"7","Kazan Uplands",2,11,5.69971559941769,7.4,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"8","Lower Boreal Highlands",2,1,0,0,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"9","Athabasca Plain",4,1176,1122.47725013411,2.4,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"10","Central Mixedwood",4,22218,22065.0848963374,5,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"11","Kazan Uplands",4,31,19.3308452977799,25.1,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"12","Lower Boreal Highlands",4,31,29.2627505362034,1.9,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"13","Athabasca Plain",5,1,0,0,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"14","Central Mixedwood",5,36,29.7028113901615,0,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"15","Kazan Uplands",5,1,0,0,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"16","Lower Boreal Highlands",5,1,0,0,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"17","Athabasca Plain",6,354,337.473836656893,0.7,6,"Poor-Hygric Black Spruce",0,"#A6AE1F","6_Poor-Hygric Black Spruce"
