"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","StralbergName","Color","DEPordNum","DEPord","DEP_Area_perc"
"1","Athabasca Plain",1,636,630.353830830674,"Poor-Xeric Grassland","#FFF0C6",1,"1_Poor-Xeric Grassland",0.5
"2","Central Mixedwood",1,275,270.646169163287,"Poor-Xeric Grassland","#FFF0C6",1,"1_Poor-Xeric Grassland",0
"3","Lower Boreal Highlands",1,1,0,"Poor-Xeric Grassland","#FFF0C6",1,"1_Poor-Xeric Grassland",0
"4","Upper Boreal Highlands",1,1,0,"Poor-Xeric Grassland","#FFF0C6",1,"1_Poor-Xeric Grassland",0
"5","Athabasca Plain",2,67409,67234.0985737193,"Poor-Xeric Jack Pine","#FF9E56",2,"2_Poor-Xeric Jack Pine",58.6
"6","Central Mixedwood",2,3157,2929.82173227123,"Poor-Xeric Jack Pine","#FF9E56",2,"2_Poor-Xeric Jack Pine",0.3
"7","Lower Boreal Highlands",2,6,5.07969414442778,"Poor-Xeric Jack Pine","#FF9E56",2,"2_Poor-Xeric Jack Pine",0
"8","Upper Boreal Highlands",2,11,11,"Poor-Xeric Jack Pine","#FF9E56",2,"2_Poor-Xeric Jack Pine",0
"9","Athabasca Plain",4,2281,2194.68224660252,"Poor-Mesic Pine","#FFA627",4,"4_Poor-Mesic Pine",1.9
"10","Central Mixedwood",4,43245,43120.8209254666,"Poor-Mesic Pine","#FFA627",4,"4_Poor-Mesic Pine",4.7
"11","Lower Boreal Highlands",4,13270,12956.6644007756,"Poor-Mesic Pine","#FFA627",4,"4_Poor-Mesic Pine",17.7
"12","Upper Boreal Highlands",4,30339,30050.8324278151,"Poor-Mesic Pine","#FFA627",4,"4_Poor-Mesic Pine",29.9
"13","Athabasca Plain",5,1,0,"Poor-Mesic Black Spruce","#DBE628",5,"5_Poor-Mesic Black Spruce",0
"14","Central Mixedwood",5,10,6.04439151287079,"Poor-Mesic Black Spruce","#DBE628",5,"5_Poor-Mesic Black Spruce",0
"15","Lower Boreal Highlands",5,1922,1880.57221288607,"Poor-Mesic Black Spruce","#DBE628",5,"5_Poor-Mesic Black Spruce",2.6
"16","Upper Boreal Highlands",5,2277,2246.38339563832,"Poor-Mesic Black Spruce","#DBE628",5,"5_Poor-Mesic Black Spruce",2.2
"17","Athabasca Plain",6,678,650.769478214293,"Poor-Hygric Black Spruce","#A6AE1F",6,"6_Poor-Hygric Black Spruce",0.6
"18","Central Mixedwood",6,7905,7877.11349566071,"Poor-Hygric Black Spruce","#A6AE1F",6,"6_Poor-Hygric Black Spruce",0.9
