"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"1","Athabasca Plain",1,580,577.646867379546,0.2,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"2","Central Mixedwood",1,224,216.018520334706,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"3","Lower Boreal Highlands",1,1,0,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"4","Upper Boreal Highlands",1,1,0,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"5","Athabasca Plain",2,152059,151485.291618076,65.4,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"6","Central Mixedwood",2,6227,5910.0401861287,0.6,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"7","Lower Boreal Highlands",2,12,12,0,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"8","Upper Boreal Highlands",2,12,12,0,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"9","Athabasca Plain",3,1,0,0,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"10","Central Mixedwood",3,1,0,0,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"11","Lower Boreal Highlands",3,1,0.125982940196991,0,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"12","Upper Boreal Highlands",3,39,33.8555236831307,0,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"13","Athabasca Plain",4,2365,2284.11786908573,1,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"14","Central Mixedwood",4,44889,44678.1338904925,4.6,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"15","Lower Boreal Highlands",4,14143,13827.1271749319,17.1,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"16","Upper Boreal Highlands",4,36111,35816.7497626509,29.2,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"17","Athabasca Plain",5,25,25,0,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"18","Central Mixedwood",5,1990,1957.93326344919,0.2,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"19","Lower Boreal Highlands",5,5052,4914.83249374899,6.1,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"20","Upper Boreal Highlands",5,11747,11644.2744946189,9.5,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"21","Athabasca Plain",6,612,584.165882500121,0.3,6,"Poor-Hygric Black Spruce",0,"#A6AE1F","6_Poor-Hygric Black Spruce"
"22","Central Mixedwood",6,7744,7696.79929313326,0.8,6,"Poor-Hygric Black Spruce",0,"#A6AE1F","6_Poor-Hygric Black Spruce"
"23","Lower Boreal Highlands",6,2126,2067.56981183574,2.6,6,"Poor-Hygric Black Spruce",0,"#A6AE1F","6_Poor-Hygric Black Spruce"
"24","Upper Boreal Highlands",6,6152,6091.12585487893,5,6,"Poor-Hygric Black Spruce",0,"#A6AE1F","6_Poor-Hygric Black Spruce"
"25","Athabasca Plain",7,8598,8478.17894414073,3.7,7,"Poor-Hydric Black Spruce / Larch",0,"#666B14","7_Poor-Hydric Black Spruce / Larch"
"26","Central Mixedwood",7,257482,256723.009383352,26.7,7,"Poor-Hydric Black Spruce / Larch",0,"#666B14","7_Poor-Hydric Black Spruce / Larch"
"27","Lower Boreal Highlands",7,14940,14643.4394611138,18.1,7,"Poor-Hydric Black Spruce / Larch",0,"#666B14","7_Poor-Hydric Black Spruce / Larch"
"28","Upper Boreal Highlands",7,29133,28962.7513070084,23.6,7,"Poor-Hydric Black Spruce / Larch",0,"#666B14","7_Poor-Hydric Black Spruce / Larch"
"29","Athabasca Plain",8,3711,3619.03031352206,1.6,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"30","Central Mixedwood",8,46671,46525.0583231135,4.8,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"31","Lower Boreal Highlands",8,1872,1853.66566371359,2.3,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"32","Upper Boreal Highlands",8,4160,4120.36561537976,3.4,8,"Poor-Hydric Shrub",0,"#593E1F","8_Poor-Hydric Shrub"
"33","Athabasca Plain",9,1,0,0,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"34","Central Mixedwood",9,93,93,0,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"35","Lower Boreal Highlands",9,53,51.4675623178482,0.1,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"36","Upper Boreal Highlands",9,16,14.5324377119541,0,9,"Medium-Xeric Grassland",1,"#FFFD77","9_Medium-Xeric Grassland"
"37","Athabasca Plain",10,102,89.3371044679989,0,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"38","Central Mixedwood",10,32053,31980.7119012848,3.3,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"39","Lower Boreal Highlands",10,117,68.6140881681204,0.1,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"40","Upper Boreal Highlands",10,48,47.9919117093086,0,10,"Medium-Xeric Aspen Mix",1,"#FFFB00","10_Medium-Xeric Aspen Mix"
"41","Athabasca Plain",11,3307,3299.48265578505,1.4,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
"42","Central Mixedwood",11,543,529.297611395752,0.1,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
"43","Lower Boreal Highlands",11,13,11.4299277365208,0,11,"Medium-Xeric Pine",1,"#7D0C0C","11_Medium-Xeric Pine"
