"","NSRNAME","Landcover_class","nPOLY","PLC_Area","PLC_Area_perc","Landcover_class_name"
"1","Athabasca Plain","0","1761","1741.65075288573","3.7","Open water"
"2","Athabasca Plain","1","5094","4909.9202911299","10.4","Fen"
"3","Athabasca Plain","2","68","65.6755216494203","0.1","Bog"
"4","Athabasca Plain","3","421","407.583858439582","0.9","Marsh"
"5","Athabasca Plain","4","1406","1344.57745642174","2.8","Swamp"
"6","Athabasca Plain","5","39622","38856.4744024709","82.1","Upland"
"7","Athabasca Plain","6",NA,"0","0","Wetland general"
"8","Central Mixedwood","0","8784","8733.4790128919","2","Open water"
"9","Central Mixedwood","1","93441","92932.8480238606","21.2","Fen"
"10","Central Mixedwood","2","3371","3363.61512396624","0.8","Bog"
"11","Central Mixedwood","3","3465","3453.16668875981","0.8","Marsh"
"12","Central Mixedwood","4","20958","20843.3522318528","4.7","Swamp"
"13","Central Mixedwood","5","312088","310041.498672495","70.6","Upland"
"14","Central Mixedwood","6",NA,"0","0","Wetland general"
"15","Kazan Uplands","0",NA,"0","0","Open water"
"16","Kazan Uplands","1","394","348.314110204548","44.7","Fen"
"17","Kazan Uplands","2","1","1","0.1","Bog"
"18","Kazan Uplands","3","1","1","0.1","Marsh"
"19","Kazan Uplands","4","18","14.0201463345438","1.8","Swamp"
"20","Kazan Uplands","5","473","415.022648873313","53.3","Upland"
"21","Kazan Uplands","6",NA,"0","0","Wetland general"
"22","Lower Boreal Highlands","0",NA,"0","0","Open water"
"23","Lower Boreal Highlands","1","3","2.07574611902237","0.1","Fen"
"24","Lower Boreal Highlands","2",NA,"0","0","Bog"
"25","Lower Boreal Highlands","3",NA,"0","0","Marsh"
"26","Lower Boreal Highlands","4","1","1","0.1","Swamp"
"27","Lower Boreal Highlands","5","1720","1545.96621571202","99.8","Upland"
"28","Lower Boreal Highlands","6",NA,"0","0","Wetland general"
