"","NSRNAME","Landcover_class","nPOLY","PLC_Area","PLC_Area_perc","Landcover_class_name"
"1","Athabasca Plain","0","11403","11343.9937934376","4.9","Open water"
"2","Athabasca Plain","1","21074","20689.409373942","8.9","Fen"
"3","Athabasca Plain","2","312","308.382096506655","0.1","Bog"
"4","Athabasca Plain","3","2403","2352.95854645171","1","Marsh"
"5","Athabasca Plain","4","3972","3881.5143679268","1.7","Swamp"
"6","Athabasca Plain","5","194096","193005.27276527","83.3","Upland"
"7","Athabasca Plain","6",NA,"0","0","Wetland general"
"8","Central Mixedwood","0","14642","14590.0818235013","1.5","Open water"
"9","Central Mixedwood","1","243745","242848.969965836","25.3","Fen"
"10","Central Mixedwood","2","30661","30538.8849323023","3.2","Bog"
"11","Central Mixedwood","3","6968","6917.77601167226","0.7","Marsh"
"12","Central Mixedwood","4","63672","63513.8470997411","6.6","Swamp"
"13","Central Mixedwood","5","605859","603294.564953854","62.7","Upland"
"14","Central Mixedwood","6",NA,"0","0","Wetland general"
"15","Lower Boreal Highlands","0","1373","1340.59262530459","1.7","Open water"
"16","Lower Boreal Highlands","1","13346","13115.9011767059","16.2","Fen"
"17","Lower Boreal Highlands","2","1662","1620.38452144712","2","Bog"
"18","Lower Boreal Highlands","3","335","329.390586747322","0.4","Marsh"
"19","Lower Boreal Highlands","4","1183","1173.66002436527","1.4","Swamp"
"20","Lower Boreal Highlands","5","65880","63434.5256995444","78.3","Upland"
"21","Lower Boreal Highlands","6",NA,"0","0","Wetland general"
"22","Upper Boreal Highlands","0","3800","3770.7102522307","3.1","Open water"
"23","Upper Boreal Highlands","1","34215","34057.80894669","27.8","Fen"
"24","Upper Boreal Highlands","2","2419","2410.8430302944","2","Bog"
"25","Upper Boreal Highlands","3","438","434.326709459536","0.4","Marsh"
"26","Upper Boreal Highlands","4","928","923.25690176338","0.8","Swamp"
"27","Upper Boreal Highlands","5","82339","80941.1026841387","66.1","Upland"
"28","Upper Boreal Highlands","6",NA,"0","0","Wetland general"
