"NSRNAME","ecosite","nCell","Classification","Upland","Color","ClassordNum","DEPord","ecosite_Area_Stralberg_20112040_CanESM2","ecosite_Area_perc_Stralberg_20112040_CanESM2","ecosite_Area_Stralberg_20112040_CSIRO","ecosite_Area_perc_Stralberg_20112040_CSIRO","ecosite_Area_Stralberg_20112040_HadGEM2","ecosite_Area_perc_Stralberg_20112040_HadGEM2","ecosite_Area_Stralberg_20412070_CanESM2","ecosite_Area_perc_Stralberg_20412070_CanESM2","ecosite_Area_Stralberg_20412070_CSIRO","ecosite_Area_perc_Stralberg_20412070_CSIRO","ecosite_Area_Stralberg_20412070_HadGEM2","ecosite_Area_perc_Stralberg_20412070_HadGEM2","ecosite_Area_Stralberg_20712100_CanESM2","ecosite_Area_perc_Stralberg_20712100_CanESM2","ecosite_Area_Stralberg_20712100_CSIRO","ecosite_Area_perc_Stralberg_20712100_CSIRO","ecosite_Area_Stralberg_20712100_HadGEM2","ecosite_Area_perc_Stralberg_20712100_HadGEM2","ecosite_Area_ab_veg_fm_c_20112040","ecosite_Area_perc_ab_veg_fm_c_20112040","ecosite_Area_ab_veg_fm_c_20112040_CanESM2","ecosite_Area_perc_ab_veg_fm_c_20112040_CanESM2","ecosite_Area_ab_veg_fm_c_20112040_CSIRO","ecosite_Area_perc_ab_veg_fm_c_20112040_CSIRO","ecosite_Area_ab_veg_fm_c_20112040_HadGEM2","ecosite_Area_perc_ab_veg_fm_c_20112040_HadGEM2","ecosite_Area_ab_veg_fm_c_20412070","ecosite_Area_perc_ab_veg_fm_c_20412070","ecosite_Area_ab_veg_fm_c_20412070_CanESM2","ecosite_Area_perc_ab_veg_fm_c_20412070_CanESM2","ecosite_Area_ab_veg_fm_c_20412070_CSIRO","ecosite_Area_perc_ab_veg_fm_c_20412070_CSIRO","ecosite_Area_ab_veg_fm_c_20412070_HadGEM2","ecosite_Area_perc_ab_veg_fm_c_20412070_HadGEM2","ecosite_Area_ab_veg_fm_c_20712100","ecosite_Area_perc_ab_veg_fm_c_20712100","ecosite_Area_ab_veg_fm_c_20712100_CanESM2","ecosite_Area_perc_ab_veg_fm_c_20712100_CanESM2","ecosite_Area_ab_veg_fm_c_20712100_CSIRO","ecosite_Area_perc_ab_veg_fm_c_20712100_CSIRO","ecosite_Area_ab_veg_fm_c_20712100_HadGEM2","ecosite_Area_perc_ab_veg_fm_c_20712100_HadGEM2","ecosite_Area_ab_veg_fm_uc_20112040","ecosite_Area_perc_ab_veg_fm_uc_20112040","ecosite_Area_ab_veg_fm_uc_20112040_CanESM2","ecosite_Area_perc_ab_veg_fm_uc_20112040_CanESM2","ecosite_Area_ab_veg_fm_uc_20112040_CSIRO","ecosite_Area_perc_ab_veg_fm_uc_20112040_CSIRO","ecosite_Area_ab_veg_fm_uc_20112040_HadGEM2","ecosite_Area_perc_ab_veg_fm_uc_20112040_HadGEM2","ecosite_Area_ab_veg_fm_uc_20412070","ecosite_Area_perc_ab_veg_fm_uc_20412070","ecosite_Area_ab_veg_fm_uc_20412070_CanESM2","ecosite_Area_perc_ab_veg_fm_uc_20412070_CanESM2","ecosite_Area_ab_veg_fm_uc_20412070_CSIRO","ecosite_Area_perc_ab_veg_fm_uc_20412070_CSIRO","ecosite_Area_ab_veg_fm_uc_20412070_HadGEM2","ecosite_Area_perc_ab_veg_fm_uc_20412070_HadGEM2","ecosite_Area_ab_veg_fm_uc_20712100","ecosite_Area_perc_ab_veg_fm_uc_20712100","ecosite_Area_ab_veg_fm_uc_20712100_CanESM2","ecosite_Area_perc_ab_veg_fm_uc_20712100_CanESM2","ecosite_Area_ab_veg_fm_uc_20712100_CSIRO","ecosite_Area_perc_ab_veg_fm_uc_20712100_CSIRO","ecosite_Area_ab_veg_fm_uc_20712100_HadGEM2","ecosite_Area_perc_ab_veg_fm_uc_20712100_HadGEM2","ecosite_Area_baseline","ecosite_Area_perc_baseline"
"Alpine",1,1,"Poor-Xeric Grassland",1,"#FFF0C6",1,"1_Poor-Xeric Grassland",0,0,0,0,0,0,22.2904963508481,0,10.8444856082497,0,21.3759686256526,0,11.1698259562254,0,62.4408550491789,0.1,11.1698259562254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761065483093262,0,0.000919682206586003,0,0,0,0,0,0.761065483093262,0,0,0,0,0
"Alpine",2,1,"Poor-Xeric Jack Pine",1,"#FF9E56",2,"2_Poor-Xeric Jack Pine",0,0,0,0,0,0,0,0,0.984342262148857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpine",3,5515,"Poor-Mesic Grassland",1,"#FFE7A6",3,"3_Poor-Mesic Grassland",3894.73674816482,6.5,4687.52147895617,7.8,5155.58495279357,8.6,3672.75754694335,6.1,2009.4227343507,3.3,3430.83033397168,5.7,6096.85630245514,10.1,3957.03472075932,6.6,6096.85630245514,10.1,6777.11864952978,11.3,6777.11864952978,11.3,6777.11864952978,11.3,6777.11864952978,11.3,6777.11864952978,11.3,6777.11864952978,11.3,6777.11864952978,11.3,6777.11864952978,11.3,6777.11864952978,11.3,6773.02896338401,11.3,6776.6103028781,11.3,6777.11864952978,11.3,6777.11864952978,11.3,6777.11864952978,11.3,6777.11864952978,11.3,6776.18489518438,11.3,6776.55733792719,11.3,6774.60207601691,11.3,6773.38177984271,11.3,6765.86678635564,11.2,6775.61368864573,11.3,6771.09669918505,11.2,6763.99549336087,11.2,6771.67792496372,11.2,6777.11864952978,11.3
"Alpine",4,5872,"Poor-Mesic Pine",1,"#FFA627",4,"4_Poor-Mesic Pine",2430.25266305054,4,1698.14385002607,2.8,1758.67308561559,2.9,2435.83108613161,4,4051.1734345906,6.7,2697.26554670673,4.5,243.787524166874,0.4,1718.28751323234,2.9,243.787524166874,0.4,114.522231297291,0.2,114.522231297291,0.2,114.522231297291,0.2,114.522231297291,0.2,114.522231297291,0.2,114.522231297291,0.2,114.522231297291,0.2,114.522231297291,0.2,114.522231297291,0.2,115.109038535579,0.2,114.601619085952,0.2,114.522231297291,0.2,114.522231297291,0.2,114.522231297291,0.2,114.522231297291,0.2,115.455985642694,0.2,115.083542899884,0.2,116.863283244617,0.2,118.25910098436,0.2,124.505469459764,0.2,114.481653354087,0.2,114.988974804947,0.2,118.49260052848,0.2,118.831359529592,0.2,114.522231297291,0.2
"Alpine",5,303,"Poor-Mesic Black Spruce",1,"#DBE628",5,"5_Poor-Mesic Black Spruce",93.2596595632087,0.2,39.7741452118316,0.1,19.5015686654006,0,794.438232236027,1.3,783.693737620037,1.3,796.440725027232,1.3,535.429018550012,0.9,1106.14498992044,1.8,535.429018550012,0.9,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,6.18015446828213,0,3.06337079405785,0,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,2.6344119310379,0,2.80993349658092,0,2.6344119310379,0,3.96330638229847,0,4.17995075829094,0,8.23248239787063,0,11.9526757124695,0,3.82627770438557,0,2.6344119310379,0
"Alpine",6,1,"Poor-Hygric Black Spruce",0,"#A6AE1F",6,"6_Poor-Hygric Black Spruce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpine",7,1,"Poor-Hydric Black Spruce / Larch",0,"#666B14",7,"7_Poor-Hydric Black Spruce / Larch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpine",8,1,"Poor-Hydric Shrub",0,"#593E1F",8,"8_Poor-Hydric Shrub",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpine",9,1,"Medium-Xeric Grassland",1,"#FFFD77",9,"9_Medium-Xeric Grassland",0,0,0,0,0,0,0.284211993217468,0,0.00543309655040503,0,4.32734495910699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpine",10,1,"Medium-Xeric Aspen Mix",1,"#FFFB00",10,"10_Medium-Xeric Aspen Mix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
