"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","StralbergName","Color","DEPord"
"1","Athabasca Plain",1,"305","294.319772397648","0.6",1,"Poor-Xeric Grassland","#FFF0C6","1_Poor-Xeric Grassland"
"2","Central Mixedwood",1,"139","134.359924949706","0",1,"Poor-Xeric Grassland","#FFF0C6","1_Poor-Xeric Grassland"
"3","Kazan Uplands",1,NA,NA,NA,1,"Poor-Xeric Grassland","#FFF0C6","1_Poor-Xeric Grassland"
"4","Lower Boreal Highlands",1,"1","0","0",1,"Poor-Xeric Grassland","#FFF0C6","1_Poor-Xeric Grassland"
"5","Athabasca Plain",2,"24966","24632.6036528362","52.4",2,"Poor-Xeric Jack Pine","#FF9E56","2_Poor-Xeric Jack Pine"
"6","Central Mixedwood",2,"1566","1412.18521574553","0.4",2,"Poor-Xeric Jack Pine","#FF9E56","2_Poor-Xeric Jack Pine"
"7","Kazan Uplands",2,NA,NA,NA,2,"Poor-Xeric Jack Pine","#FF9E56","2_Poor-Xeric Jack Pine"
"8","Lower Boreal Highlands",2,"1","0","0",2,"Poor-Xeric Jack Pine","#FF9E56","2_Poor-Xeric Jack Pine"
"9","Athabasca Plain",4,"1158","1101.99220477897","2.3",4,"Poor-Mesic Pine","#FFA627","4_Poor-Mesic Pine"
"10","Central Mixedwood",4,"13239","13136.1887887745","3.4",4,"Poor-Mesic Pine","#FFA627","4_Poor-Mesic Pine"
"11","Kazan Uplands",4,NA,NA,NA,4,"Poor-Mesic Pine","#FFA627","4_Poor-Mesic Pine"
"12","Lower Boreal Highlands",4,"33","29.7370617985725","1.9",4,"Poor-Mesic Pine","#FFA627","4_Poor-Mesic Pine"
"13","Athabasca Plain",5,NA,NA,NA,5,"Poor-Mesic Black Spruce","#DBE628","5_Poor-Mesic Black Spruce"
"14","Central Mixedwood",5,NA,NA,NA,5,"Poor-Mesic Black Spruce","#DBE628","5_Poor-Mesic Black Spruce"
"15","Kazan Uplands",5,"0","0","0",5,"Poor-Mesic Black Spruce","#DBE628","5_Poor-Mesic Black Spruce"
"16","Lower Boreal Highlands",5,NA,NA,NA,5,"Poor-Mesic Black Spruce","#DBE628","5_Poor-Mesic Black Spruce"
"17","Athabasca Plain",6,"379","362.174498846754","0.8",6,"Poor-Hygric Black Spruce","#A6AE1F","6_Poor-Hygric Black Spruce"
"18","Central Mixedwood",6,"3172","3147.60577219911","0.8",6,"Poor-Hygric Black Spruce","#A6AE1F","6_Poor-Hygric Black Spruce"
"19","Kazan Uplands",6,NA,NA,NA,6,"Poor-Hygric Black Spruce","#A6AE1F","6_Poor-Hygric Black Spruce"
"20","Lower Boreal Highlands",6,"18","17.577809214592","1.1",6,"Poor-Hygric Black Spruce","#A6AE1F","6_Poor-Hygric Black Spruce"
