"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"1","Athabasca Plain",1,1666,1655.95718924701,0.1,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"2","Boreal Subarctic",1,1,0,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"3","Central Mixedwood",1,7015,6979.81820441197,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"4","Dry Mixedwood",1,7383,7370.58292261197,0.1,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"5","Lower Boreal Highlands",1,5,1.34670447837561,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"6","Northern Mixedwood",1,211,211,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"7","Upper Boreal Highlands",1,1,0,0,1,"Poor-Xeric Grassland",1,"#FFF0C6","1_Poor-Xeric Grassland"
"8","Athabasca Plain",2,580743,579646.1707949,43.1,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"9","Boreal Subarctic",2,513,509.806133531034,0,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"10","Central Mixedwood",2,298719,297472.605707432,1.8,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"11","Dry Mixedwood",2,1370,1358.49644936818,0,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"12","Lower Boreal Highlands",2,5817,5751.11957486751,0.1,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"13","Northern Mixedwood",2,166743,166397.321330262,5.7,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"14","Upper Boreal Highlands",2,2881,2848.93111517714,0.2,2,"Poor-Xeric Jack Pine",1,"#FF9E56","2_Poor-Xeric Jack Pine"
"15","Athabasca Plain",3,150,150,0,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"16","Boreal Subarctic",3,25,25,0,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"17","Central Mixedwood",3,25,25,0,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"18","Dry Mixedwood",3,50,50,0,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"19","Lower Boreal Highlands",3,201,180.326950095594,0,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"20","Northern Mixedwood",3,1988,1983.80571419001,0.1,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"21","Upper Boreal Highlands",3,1391,1378.43549391255,0.1,3,"Poor-Mesic Grassland",1,"#FFE7A6","3_Poor-Mesic Grassland"
"22","Athabasca Plain",4,47128,46762.5639026353,3.5,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"23","Boreal Subarctic",4,50997,50692.6380554787,4.3,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"24","Central Mixedwood",4,406941,406117.093674411,2.4,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"25","Dry Mixedwood",4,37729,37688.1106690775,0.4,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"26","Lower Boreal Highlands",4,409765,407206.309956923,7.3,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"27","Northern Mixedwood",4,26109,25867.4891738201,0.9,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"28","Upper Boreal Highlands",4,235788,234092.692593209,19.8,4,"Poor-Mesic Pine",1,"#FFA627","4_Poor-Mesic Pine"
"29","Athabasca Plain",5,13209,13067.4589301077,1,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"30","Boreal Subarctic",5,99671,99221.3943393591,8.4,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"31","Central Mixedwood",5,82710,82300.0503308599,0.5,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"32","Dry Mixedwood",5,1696,1680.58236542437,0,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"33","Lower Boreal Highlands",5,129584,126913.005551039,2.3,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"34","Northern Mixedwood",5,278972,278442.643667327,9.5,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"35","Upper Boreal Highlands",5,128411,126795.376609766,10.7,5,"Poor-Mesic Black Spruce",1,"#DBE628","5_Poor-Mesic Black Spruce"
"36","Athabasca Plain",6,2721,2678.89013215181,0.2,6,"Poor-Hygric Black Spruce",0,"#A6AE1F","6_Poor-Hygric Black Spruce"
"37","Boreal Subarctic",6,2802,2777.32057477301,0.2,6,"Poor-Hygric Black Spruce",0,"#A6AE1F","6_Poor-Hygric Black Spruce"
"38","Central Mixedwood",6,120182,120018.763002019,0.7,6,"Poor-Hygric Black Spruce",0,"#A6AE1F","6_Poor-Hygric Black Spruce"
"39","Dry Mixedwood",6,11043,11028.4916154949,0.1,6,"Poor-Hygric Black Spruce",0,"#A6AE1F","6_Poor-Hygric Black Spruce"
