"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","StralbergName","Color","DEPordNum","DEPord","DEP_Area_perc"
"1","Athabasca Plain",1,636,630.353830830674,"Poor-Xeric Grassland","#FFF0C6",1,"1_Poor-Xeric Grassland",0.5
"2","Central Mixedwood",1,275,266.920885063708,"Poor-Xeric Grassland","#FFF0C6",1,"1_Poor-Xeric Grassland",0
"3","Lower Boreal Highlands",1,1,0,"Poor-Xeric Grassland","#FFF0C6",1,"1_Poor-Xeric Grassland",0
"4","Upper Boreal Highlands",1,1,0,"Poor-Xeric Grassland","#FFF0C6",1,"1_Poor-Xeric Grassland",0
"5","Athabasca Plain",2,67409,67234.0858257163,"Poor-Xeric Jack Pine","#FF9E56",2,"2_Poor-Xeric Jack Pine",58.6
"6","Central Mixedwood",2,3157,2925.60451130918,"Poor-Xeric Jack Pine","#FF9E56",2,"2_Poor-Xeric Jack Pine",0.3
"7","Lower Boreal Highlands",2,6,5.07969414442778,"Poor-Xeric Jack Pine","#FF9E56",2,"2_Poor-Xeric Jack Pine",0
"8","Upper Boreal Highlands",2,11,11,"Poor-Xeric Jack Pine","#FF9E56",2,"2_Poor-Xeric Jack Pine",0
"9","Athabasca Plain",4,2281,2194.68180958126,"Poor-Mesic Pine","#FFA627",4,"4_Poor-Mesic Pine",1.9
"10","Central Mixedwood",4,43245,43065.9818547203,"Poor-Mesic Pine","#FFA627",4,"4_Poor-Mesic Pine",4.7
"11","Lower Boreal Highlands",4,13270,12956.6620170732,"Poor-Mesic Pine","#FFA627",4,"4_Poor-Mesic Pine",17.7
"12","Upper Boreal Highlands",4,30339,30050.8298897897,"Poor-Mesic Pine","#FFA627",4,"4_Poor-Mesic Pine",29.9
"13","Athabasca Plain",5,1,0,"Poor-Mesic Black Spruce","#DBE628",5,"5_Poor-Mesic Black Spruce",0
"14","Central Mixedwood",5,10,6.04439152218401,"Poor-Mesic Black Spruce","#DBE628",5,"5_Poor-Mesic Black Spruce",0
"15","Lower Boreal Highlands",5,1922,1880.5720405976,"Poor-Mesic Black Spruce","#DBE628",5,"5_Poor-Mesic Black Spruce",2.6
"16","Upper Boreal Highlands",5,2277,2246.38339563832,"Poor-Mesic Black Spruce","#DBE628",5,"5_Poor-Mesic Black Spruce",2.2
