"","RasterNum","StralbergName","Color","DEPordNum"
"1",1,"Poor-Xeric Grassland","#FFF0C6",1
"2",2,"Poor-Xeric Jack Pine","#FF9E56",2
"3",4,"Poor-Mesic Pine","#FFA627",4
"4",5,"Poor-Mesic Black Spruce","#DBE628",5
"5",6,"Poor-Hygric Black Spruce","#A6AE1F",6
"6",7,"Poor-Hydric Black Spruce / Larch","#666B14",7
"7",8,"Poor-Hydric Shrub ","#593E1F",8
"8",9,"Medium-Xeric Grassland","#FFFD77",9
"9",10,"Medium-Xeric Aspen Mix","#FFFB00",10
"10",11,"Medium-Xeric Pine","#7D0C0C",11
"11",12,"Medium-Xeric Spruce","#698222",12
"12",13,"Medium-Mesic Grassland","#D5FF95",13
"13",15,"Medium-Mesic Aspen Mix","#B1FF38",15
"14",50,"Medium-Mesic Boreal Aspen","#26FE00",16
"15",17,"Medium-Mesic Pine Mix","#B1FF38",17
"16",18,"Medium-Mesic White Spruce","#085401",18
"17",19,"Rich-Mesic Grassland","#99FF89",19
"18",20,"Medium-Hygric Poplar Mix","#14C800",20
"19",21,"Medium-Hygric Spruce Mix","#3CBC2F",21
"20",25,"Medium-Hydric Shrub Fen","#9EB373",25
"21",26,"Medium-Hydric Black Spruce Fen","#75AC00",26
"22",28,"Rich-Hygric Shrubland","#99FF89",28
"23",29,"Rich-Hygric Poplar","#00C89E",29
"24",31,"Rich-Hygric Spruce","#0E995F",31
"25",32,"Rich-Hydric Grass Fen","#9FFFD7",32
"26",33,"Rich-Hydric Shrub Fen","#2DFFA7",33
"27",34,"Rich-Hydric Black Spruce","#0C5437",34
"28",35,"Marsh","#AEEDFF",35
"29",39,"Open Water","#071BD6",39
"30",52,"Disturbed","#ACAC96",52
