Name,Raster Id
no_data:all,0
aa_grass:all,1
a1_Pj:all,2
c1_Pj_Sb:all,4
cc_shrub:all,5
g1_Sb:all,6
i1_bog_treed:all,7
i2_bog_shrub:all,8
bb_grass:all,9
b2_Aw:all,10
b1_Pj_Aw:all,11
b3_Aw_Sw:all,12
dd_grass:all,13
d2_Aw_Sw:all,15
d1_Aw:all,17
d3_Sw:all,18
e1_Pb_Aw:all,20
e3_Sw_Aw_Pb:all,21
j3_poorFen_grass:all,25
j1_poorFen_treed:all,26
k3_richFen_grass:all,32
k1_richFen_treed:all,34
l1_marsh:all,35
open_water:all,39
agriculture:all,41
urban:all,42
non-fuel:all,43
mined:all,52
reclaimed_coarse:all,53
reclaimed_fine:all,54
reclaimed_lowland:all,55
reclaimed_OW:all,56
reclaimed_grass:all,57
gg_shrub:all,66
ee_shrub:all,77
slated for mining:all,99
a1_Pj_salvage:all,100
b1_Pj_Aw_salvage:all,101
c1_Pj_Sb_salvage:all,102
g1_Sb_salvage:all,103
d3_Sw_salvage:all,104
a1_Pj:long_int_dist,105
a1_Pj:short_int_dist,106
b1_Pj_Aw:long_int_dist,107
b1_Pj_Aw:short_int_dist,108
b2_Aw:long_int_dist,109
b2_Aw:short_int_dist,110
b3_Aw_Sw:long_int_dist,111
b3_Aw_Sw:short_int_dist,112
c1_Pj_Sb:long_int_dist,113
c1_Pj_Sb:short_int_dist,114
d1_Aw:long_int_dist,115
d1_Aw:short_int_dist,116
d2_Aw_Sw:long_int_dist,117
d2_Aw_Sw:short_int_dist,118
d3_Sw:long_int_dist,119
d3_Sw:short_int_dist,120
e1_Pb_Aw:long_int_dist,121
e1_Pb_Aw:short_int_dist,122
e3_Sw_Aw_Pb:long_int_dist,123
e3_Sw_Aw_Pb:short_int_dist,124
g1_Sb:long_int_dist,125
g1_Sb:short_int_dist,126
i1_bog_treed:long_int_dist,127
i1_bog_treed:short_int_dist,128
j1_poorFen_treed:long_int_dist,129
j1_poorFen_treed:short_int_dist,130
k1_richFen_treed:long_int_dist,131
k1_richFen_treed:short_int_dist,132
