Code,Classification,NutMoist,FuelCat,FuelNum,FBP,Upland,Cover,Forest,Cover2,Cover2Num,EcositeStateID,EcositeStateName,Notes
1,Poor-Xeric Grassland,PX,O-1,1,31,1,Grassland,0,Grassland,4,1,aa_grass:all,
2,Poor-Xeric Jack Pine,PX,C-1,4,1,1,Jack Pine,1,Conifer,1,2,a1_Pj:all,
2,Poor-Xeric Jack Pine,PX,C-4,4,1,1,Jack Pine,4,Conifer,1,100,a1_Pj_salvage:all,
2,Poor-Xeric Jack Pine,PX,C-2,4,1,1,Jack Pine,2,Conifer,1,105,a1_Pj:long_int_dist,
2,Poor-Xeric Jack Pine,PX,C-3,4,1,1,Jack Pine,3,Conifer,1,106,a1_Pj:short_int_dist,
3,Poor-Mesic Grassland,PM,O-1,1,31,1,Grassland,0,Grassland,4,5,cc_shrub:all,
4,Poor-Mesic Pine,PM,C-3,6,3,1,Jack Pine,1,Conifer,1,4,c1_Pj_Sb:all,
4,Poor-Mesic Pine,PM,C-4,6,3,1,Jack Pine,2,Conifer,1,102,c1_Pj_Sb_salvage:all,
4,Poor-Mesic Pine,PM,C-5,6,3,1,Jack Pine,3,Conifer,1,113,c1_Pj_Sb:long_int_dist,
4,Poor-Mesic Pine,PM,C-6,6,3,1,Jack Pine,4,Conifer,1,114,c1_Pj_Sb:short_int_dist,
5,Poor-Mesic Black Spruce,PM,C-2,5,2,1,Black Spruce,1,Conifer,1,4,c1_Pj_Sb:all,
6,Poor-Hygric Black Spruce,PG,C-2,5,2,0,Black Spruce,1,Conifer,1,6,g1_Sb:all,
6,Poor-Hygric Black Spruce,PG,C-3,5,2,0,Black Spruce,2,Conifer,1,103,g1_Sb_salvage:all,
6,Poor-Hygric Black Spruce,PG,C-4,5,2,0,Black Spruce,3,Conifer,1,125,g1_Sb:long_int_dist,
6,Poor-Hygric Black Spruce,PG,C-5,5,2,0,Black Spruce,4,Conifer,1,126,g1_Sb:short_int_dist,
7,Poor-Hydric Black Spruce / Larch,PD,C-1,4,1,0,Black Spruce,1,Conifer,1,7,i1_bog_treed:all,
7,Poor-Hydric Black Spruce / Larch,PD,C-2,4,1,0,Black Spruce,2,Conifer,1,127,i1_bog_treed:long_int_dist,
7,Poor-Hydric Black Spruce / Larch,PD,C-3,4,1,0,Black Spruce,3,Conifer,1,128,i1_bog_treed:short_int_dist,
8,Poor-Hydric Shrub,PD,O-1,1,31,0,Shrub,0,Shrub,5,8,i2_bog_shrub:all,
9,Medium-Xeric Grassland,MX,O-1,1,31,1,Grassland,0,Grassland,4,9,bb_grass:all,
10,Medium-Xeric Aspen Mix,MX,M-1/2,3,60,1,Mixedwood,1,Mixedwood,2,10,b2_Aw:all,
10,Medium-Xeric Aspen Mix,MX,M-1/3,3,60,1,Mixedwood,2,Mixedwood,2,109,b2_Aw:long_int_dist,
10,Medium-Xeric Aspen Mix,MX,M-1/4,3,60,1,Mixedwood,3,Mixedwood,2,110,b2_Aw:short_int_dist,
11,Medium-Xeric Pine,MX,C-1,4,1,1,Jack Pine,1,Conifer,1,11,b1_Pj_Aw:all,
11,Medium-Xeric Pine,MX,C-2,4,1,1,Jack Pine,2,Conifer,1,101,b1_Pj_Aw_salvage:all,
11,Medium-Xeric Pine,MX,C-3,4,1,1,Jack Pine,3,Conifer,1,107,b1_Pj_Aw:long_int_dist,
11,Medium-Xeric Pine,MX,C-4,4,1,1,Jack Pine,4,Conifer,1,108,b1_Pj_Aw:short_int_dist,
12,Medium-Xeric Spruce,MX,C-1,4,1,1,White Spruce,1,Conifer,1,12,b3_Aw_Sw:all,
12,Medium-Xeric Spruce,MX,C-2,4,1,1,White Spruce,2,Conifer,1,111,b3_Aw_Sw:long_int_dist,
12,Medium-Xeric Spruce,MX,C-3,4,1,1,White Spruce,3,Conifer,1,112,b3_Aw_Sw:short_int_dist,
13,Medium-Mesic Grassland,MM,O-1,1,31,1,Grassland,0,Grassland,4,13,dd_grass:all,
14,Medium-Mesic Aspen,MM,D-1/2,2,13,1,Aspen,1,Deciduous,3,17,d1_Aw:all,
14,Medium-Mesic Aspen,MM,D-1/3,2,13,1,Aspen,2,Deciduous,3,115,d1_Aw:long_int_dist,
14,Medium-Mesic Aspen,MM,D-1/4,2,13,1,Aspen,3,Deciduous,3,116,d1_Aw:short_int_dist,
15,Medium-Mesic Aspen Mix,MM,M-1/2,3,60,1,Mixedwood,1,Mixedwood,2,15,d2_Aw_Sw:all,
15,Medium-Mesic Aspen Mix,MM,M-1/3,3,60,1,Mixedwood,2,Mixedwood,2,117,d2_Aw_Sw:long_int_dist,
15,Medium-Mesic Aspen Mix,MM,M-1/4,3,60,1,Mixedwood,3,Mixedwood,2,118,d2_Aw_Sw:short_int_dist,
16,Medium-Mesic Pine,MM,C-3,6,3,1,Lodgepole Pine,1,Conifer,1,17,d1_Aw:all,
17,Medium-Mesic Pine Mix,MM,C-3,6,3,1,Lodgepole Pine,1,Conifer,1,17,d1_Aw:all,
18,Medium-Mesic White Spruce,MM,C-2,5,2,1,White Spruce,1,Conifer,1,18,d3_Sw:all,
18,Medium-Mesic White Spruce,MM,C-3,5,2,1,White Spruce,2,Conifer,1,104,d3_Sw_salvage:all,
18,Medium-Mesic White Spruce,MM,C-4,5,2,1,White Spruce,3,Conifer,1,119,d3_Sw:long_int_dist,
18,Medium-Mesic White Spruce,MM,C-5,5,2,1,White Spruce,4,Conifer,1,120,d3_Sw:short_int_dist,
19,Medium-Hygric Grassland,MG,O-1,1,31,0,Grassland,0,Grassland,4,77,ee_shrub:all,
20,Medium-Hygric Poplar Mix,MG,M-1/2,3,60,0,Poplar,1,Deciduous,3,20,e1_Pb_Aw:all,
20,Medium-Hygric Poplar Mix,MG,M-1/3,3,60,0,Poplar,2,Deciduous,3,121,e1_Pb_Aw:long_int_dist,
20,Medium-Hygric Poplar Mix,MG,M-1/4,3,60,0,Poplar,3,Deciduous,3,122,e1_Pb_Aw:short_int_dist,
21,Medium-Hygric Spruce Mix,MG,C-2,5,2,0,White Spruce,1,Conifer,1,21,e3_Sw_Aw_Pb:all,
21,Medium-Hygric Spruce Mix,MG,C-3,5,2,0,White Spruce,2,Conifer,1,123,e3_Sw_Aw_Pb:long_int_dist,
21,Medium-Hygric Spruce Mix,MG,C-4,5,2,0,White Spruce,3,Conifer,1,124,e3_Sw_Aw_Pb:short_int_dist,
22,Medium-Hygric Black Spruce Mix,MG,C-2,5,2,0,Black Spruce,1,Conifer,1,6,g1_Sb:all,
23,Alpine,AL,nonfuel,0,101,1,Grassland,0,Grassland,4,43,non-fuel:all,"Code (column A) does not occur in the Stralberg_baseline_vegeco4top_mod_100m raster, but anything called 'non-fuel' is classified with ID 43 in the ecosite state rasters in the ST-Sim"
24,Barren,NA,nonfuel,0,101,1,None,0,None,0,43,non-fuel:all,"Code (column A) does not occur in the Stralberg_baseline_vegeco4top_mod_100m raster, but anything called 'non-fuel' is classified with ID 43 in the ecosite state rasters in the ST-Sim"
25,Medium-Hydric Shrub (Poor Fen),MD,O-1,1,31,0,Shrub,0,Shrub,5,25,j3_poorFen_grass:all,
26,Medium-Hydric Black Spruce Fen (Poor Fen),MD,O-1,1,31,0,Black Spruce,1,Conifer,1,26,j1_poorFen_treed:all,
26,Medium-Hydric Black Spruce Fen (Poor Fen),MD,O-2,1,31,0,Black Spruce,2,Conifer,1,129,j1_poorFen_treed:long_int_dist,
26,Medium-Hydric Black Spruce Fen (Poor Fen),MD,O-3,1,31,0,Black Spruce,3,Conifer,1,130,j1_poorFen_treed:short_int_dist,
27,Rich-Mesic Grassland,RM,O-1,1,31,1,Grassland,0,Grassland,4,77,ee_shrub:all,
28,Rich-Hygric Shrubland,RG,O-1,1,31,0,Shrub,0,Shrub,5,NA,NA,Code (column A) does not occur within the modeled area and was not assigned a corresponding ecosite type ID
29,Rich-Hygric Poplar,RG,D-1/2,2,13,0,Poplar,1,Deciduous,3,20,e1_Pb_Aw:all,
30,Rich-Hygric Lodgepole Pine,RG,C-3,6,3,0,Lodgepole Pine,1,Conifer,1,34,k1_richFen_treed:all,
30,Rich-Hygric Lodgepole Pine,RG,C-4,6,3,0,Lodgepole Pine,2,Conifer,1,131,k1_richFen_treed:long_int_dist,
30,Rich-Hygric Lodgepole Pine,RG,C-5,6,3,0,Lodgepole Pine,3,Conifer,1,132,k1_richFen_treed:short_int_dist,
31,Rich-Hygric Spruce,RG,C-2,5,2,0,White Spruce,1,Conifer,1,21,e3_Sw_Aw_Pb:all,
32,Rich-Hydric Grass Fen,RD,O-1,1,31,0,Grassland,0,Grassland,4,32,k3_richFen_grass:all,
33,Rich-Hydric Shrub Fen,RD,O-1,1,31,0,Shrub,0,Shrub,5,32,k3_richFen_grass:all,
34,Rich-Hydric Black Spruce,RD,O-1,1,31,0,Black Spruce,1,Conifer,1,34,k1_richFen_treed:all,
